year,study_title,outcome_measures,country,continents,data_analysis_method,definition_of_dyslipidemia_used,study_design,follow_up_duration,follow_up_duration_in_weeks,,exposure,method_for_assessing_adherence_(if_any),outcome_measures_2,data_analysis_method_2,"study_population_(size,_primary_vs_secondary_%,_other_characteristics)",findings,author,author_details,type_of_lipid-lowering_medication,cholesterol_marker,Goal,Goal_details,samplesize,numberofsors,prevalenceofsors,predictorofsors,effect_size_for_the_association_between_sors_and_cvd,limitations,confounding,confounding_/adjusted_variables
2018,Low-density lipoprotein cholesterol goal attainment rates by initial statin monotherapy among patients with dyslipidemia and high cardiovascular risk in Japan â€• A retrospective database analysis,LDL-goal attainment acc to 2012 JAS guidelines by different statin monotherapies (<120 for primary and <100 for secondary),Japan,Asia,Wilson Score,2012 Japan Atherosclerosis Society guidelines,Cohort,2 yrs,104.286,,"Monotherapy with Intensive statin (atorva, rosuva, pitava) or standard (fluva, prava, simva)",time to medication refill. Non-persistent if twice the duration of previous refill.,LDL-goal attainment acc to 2012 JAS guidelines by different statin monotherapies (<120 for primary and <100 for secondary),Wilson Score,"11,695 in primary prevention group, >20 or 20 of age","Intensive statins: 81.1%, Standard statins: 61.2%. Also calculated according to comorbidities Intensive statins prescribed in 82â€“87 %.
 GA to JAS 2012 targets: 81.1 % (intensive) vs 61.2 % (standard) in primary; 73.3 % vs 48.1 % in secondary. Overall GA = 77.5 % (primary) / 69.9 % (secondary). 
 Stricter thresholds: Only 22.6 % of secondary-prevention pts reached < 70 mg/dL (24.6 % intensive, 9.7 % standard). 
 GA by complications: Rates varied little across DM, CKD, PAD, MI, stroke etc. (e.g., DM 75.1 %, CKD 79.7 % for < 100 mg/dL in secondary) 
 Adherence: â‰¥ 80 % PDC in 88.4 % (primary) and 84.0 % (secondary) on intensive statins; similar for standard. ",Umeda,2018,Different statins,LDL,120 mg/dL  ,NA  ,11695,2630,0.225,"For goal 120, SoRS in those who take: Intensive statins is 18.9 (18.1-19.7); Standard statins is 38.8 (36.7-40.9). For goal 100, SoRS in those who take: Intensive statins is 42.3 (41.3-43.3); Standard statin is 70.0 (68.0%-71.8%) (NO OVERLAP)",NA,,,20
2017,[NON-RANDOMISED]Effect of rosuvastatin on dyslipidemia and other parameters associated with metabolic syndrome in Saudi patients,% achieving LDL-C â‰¤ 100 mg/dL,Saudi,Asia,just % of achieved.,Metabolic syndrome: TG â‰¥ 150 mg/dL; HDL-C < 40 mg/dL for men and < 50 mg/dL for women; LDL >/= 130 acc to NCEPIII,Non-randomised trial,12 mo,52.14,,,NA,% achieving LDL-C â‰¤ 100 mg/dL,just % of achieved.,63.4% male,85.9% reached LDL-C â‰¤ 100 mg/dL,Rafeeq,2017,Rosuvastatin 10 mg once dail,LDL,100 mg/dL  ,NA  ,142,20,0.141,NA,NA,,,24
2017,Low-Density Lipoprotein Cholesterol Lowering for the Primary Prevention of Cardiovascular Disease Among Men With Primary Elevations of LDL-C â‰¥190 mg/dL: Analyses From the WOSCOPS Trial,Randomization to pravastatin vs placebo,UK(Scotland),Europe,Cox propotioynal hazards,LDL-C â‰¥190 mg/dL (primary severe hypercholesterolemia); individuals with LDL-C >232 mg/dL excluded,RCT,18mo,78.21,,,Statin use and discontinuation behaviour,Randomization to pravastatin vs placebo,Cox propotioynal hazards,5529 men aged 45-65 without vasc dse. Primary prevention only,"Pravastatin vs placebo in LDL-C â‰¥ 190 mg/dL: CHD HR 0.73 ( â€“27 %); MACE HR 0.75 ( â€“25 %) over 4.9 y. â€¢ Over 20 y: CHD death HR 0.72 ( â€“28 %); CV death HR 0.75 ( â€“25 %); all-cause mortality HR 0.82 ( â€“18 %). â€¢ Absolute risk reduction in deaths at 20 y two-fold greater than in LDL-C < 190 mg/dL group. â€¢ LDL-C reductions > 30 % (or > 39 mg/dL) associated with lower CHD/MACE risk; smaller reductions showed no benefit. CHD (nonfatal MI + CHD death), MACE (CV death + nonfatal MI + nonfatal stroke), CHD death, cardiovascular death, all-cause mortality. This plot illustrates the outcome of interest (the risk of CVD based on target LDL-C achieved): https://assets.ovid.com/JOURNAL/circ/04.03/00003017-201711140-00002/figure5-2/v/2021-02-24T171009Z/r/image-tiff/t/width-1200-png?dG-vljyw0pOaKibuzPPx0FhZHFdVL173VPLXXI_A_7yz6vbKMjsgRvgJDMFnf9OJZPgRMizuFLmwdmGPg7JGhqdr90f5j5fg3TywoE2rIrZruLHNRbFIMVFE2G-DaLxkKmXt73pUUqjjcQe96L6FgWcGEZPn3hJp3jytm6QdJZ4z6Amr4HrFVr1jpDv7Tu_9KX5wDSXTMBzLGuPGoc3j-Ncbj071tFygzi751Q",Vallejo-Vaz,2017,Pravastatin 40 mg/day,LDL,30%,LDL-C reduction  ,1209,720,0.596,NA,"For major acute coronary events and coronary revascularisation, reducing LDL-C by >30% or to <145 are the only significant ones with reduction of MACE/coronary revascularization HR of 0.68, (0.46-1.01; p= 0.054) and 0.64 (0.43-0.95; p =0.027), respectively. For individuals with greater than 190 mg per dl LDL cholesterol, reducing LDL by greater than 30% reduces coronary heart disease rate in primary prevention significantly with HR of 0.58 (0.37-0.92; p=0.021). Reducing LDL-C to less than 145 mg/dL is associated with a reducedMACE/coronary revascularization in this population as well with an HR of 0.56 (0.35, 0.89; p=0.014). For LDL 145 to 174 mg/dL, HR is 0.58 (0.35-0.95; p=0.030 ) all compared to placebo.                           For MACE plus coronary revascularisation:   For LDL percentage reduction <30%, it's non-significant with an HR of 0.80 (0.57-1.10; p= 0.171). For greater than 30% reduction in LDL,HR= 0.68, (0.46, 1.01; p=0.054). For on-treatment LDL greater than 174, HR is 1.06 (0.70, 1.60; p =0.772). For 145 to 174 mg/dL, HR= 0.67 (0.44-1.02; p= 0.064). For on-treatment LDL less than 145 mg/dL, HR= 0.64( 0.43, 0.95; p= 0.027).",,,27
2017,Low-Density Lipoprotein Cholesterol Lowering for the Primary Prevention of Cardiovascular Disease Among Men With Primary Elevations of LDL-C â‰¥190 mg/dL: Analyses From the WOSCOPS Trial,Randomization to pravastatin vs placebo,UK(Scotland),Europe,Cox propotioynal hazards,LDL-C â‰¥190 mg/dL (primary severe hypercholesterolemia); individuals with LDL-C >232 mg/dL excluded,RCT,18mo,78.21,,,Statin use and discontinuation behaviour,Randomization to pravastatin vs placebo,Cox propotioynal hazards,5530 men aged 45-65 without vasc dse. Primary prevention only,"Pravastatin vs placebo in LDL-C â‰¥ 190 mg/dL: CHD HR 0.73 ( â€“27 %); MACE HR 0.75 ( â€“25 %) over 4.9 y. â€¢ Over 20 y: CHD death HR 0.72 ( â€“28 %); CV death HR 0.75 ( â€“25 %); all-cause mortality HR 0.82 ( â€“18 %). â€¢ Absolute risk reduction in deaths at 20 y two-fold greater than in LDL-C < 190 mg/dL group. â€¢ LDL-C reductions > 30 % (or > 39 mg/dL) associated with lower CHD/MACE risk; smaller reductions showed no benefit. CHD (nonfatal MI + CHD death), MACE (CV death + nonfatal MI + nonfatal stroke), CHD death, cardiovascular death, all-cause mortality. This plot illustrates the outcome of interest (the risk of CVD based on target LDL-C achieved): https://assets.ovid.com/JOURNAL/circ/04.03/00003017-201711140-00002/figure5-2/v/2021-02-24T171009Z/r/image-tiff/t/width-1200-png?dG-vljyw0pOaKibuzPPx0FhZHFdVL173VPLXXI_A_7yz6vbKMjsgRvgJDMFnf9OJZPgRMizuFLmwdmGPg7JGhqdr90f5j5fg3TywoE2rIrZruLHNRbFIMVFE2G-DaLxkKmXt73pUUqjjcQe96L6FgWcGEZPn3hJp3jytm6QdJZ4z6Amr4HrFVr1jpDv7Tu_9KX5wDSXTMBzLGuPGoc3j-Ncbj071tFygzi751Q",Vallejo-Vaz,2017,Pravastatin 40 mg/day,LDL,174 mg/dL  ,NA  ,1209,290,0.24,NA,NA,,,
2016,Percent reduction in LDL cholesterol following high-intensity statin therapy: potential implications for guidelines and for the prescription of emerging lipid-lowering agents,"First major cardiovascular event (non-fatal MI, non-fatal stroke, unstable angina, arterial revascularization, or cardiovascular death)",USA,North America,Cox,LDL<130 and hsCRP>/-2.0mg/dl,RCT,12 mo,52.14,,Not explicitly measured in this analysis;,PDC<80%,"First major cardiovascular event (non-fatal MI, non-fatal stroke, unstable angina, arterial revascularization, or cardiovascular death)",Cox,"17,802",46.3% of participants on rosuvastatin had â‰¥50% LDL-C reduction. Those achieving â‰¥50% reduction had a 59% lower risk of CV events vs. placebo (HR 0.41; 95% CI 0.29â€“0.58).,Ridker,2016,Rosuvastatin 20 mg dail,LDL,50%,LDL-C reduction  ,7856,4216,0.536,NA,"After adjustment for covariates predictive of the change in lipid levels (including baseline LDLC), these multivariable adjusted hazard ratios were: 0.86 (95% CI 0.50–1.49), 0.61 (95%CI 0.44–0.83), and 0.41 (95% CI 0.29–0.58) (P-trend <0.00001) for  no LDL reduction, LDL reductions <50%, and LDL reductions ≥50%, respectively.",,,31
2021,"Evaluation of LDL goal achievement in statin consumption, south east of Iran.",Primary: LDL-C goal attainment based on AACE guidelines across CVD risk levels,Iran,Asia,"Descriptive stats, Chi-square, Mannâ€“Whitney, Kruskalâ€“Wallis tests using SPSS v22. Non-parametric methods used due to non-normal data distribution",,Cross-sectional,6.2 yrs median duration,323.2866,,,NA,Primary: LDL-C goal attainment based on AACE guidelines across CVD risk levels,"Descriptive stats, Chi-square, Mannâ€“Whitney, Kruskalâ€“Wallis tests using SPSS v22. Non-parametric methods used due to non-normal data distribution","576 statin-treated patients from a heart clinic in Birjand; classified into cardiovascular risk groups (extreme, very high, high, moderate). Secondary prevention not explicitly quantified; 57.6% were in very-high CVD risk group. Excluded low-risk group due to small size. Most were women (64.9%) and had comorbidities such as hypertension (78.3%) and diabetes (38.4%).",64.6% of patients with moderate risk ( patients with â‰¤ 2 risk factors and 10-year risk < 10%) achieved a goal of <100mg/dl acc to American ACC/AHA The American College of Cardiology/American Heart Association..,Aghasizadeh,2021 H,"Different statins: Atorvastatin, Rosuvastatin, Simvastatin (low/moderate/high intensity)",LDL,100 mg/dL  ,high-risk  ,55,16,0.291,NA,NA,,,
2021,"Evaluation of LDL goal achievement in statin consumption, south east of Iran.",Primary: LDL-C goal attainment based on AACE guidelines across CVD risk levels,Iran,Asia,"Descriptive stats, Chi-square, Mannâ€“Whitney, Kruskalâ€“Wallis tests using SPSS v22. Non-parametric methods used due to non-normal data distribution",,Cross-sectional,6.2 yrs median duration,323.2866,,,NA,Primary: LDL-C goal attainment based on AACE guidelines across CVD risk levels,"Descriptive stats, Chi-square, Mannâ€“Whitney, Kruskalâ€“Wallis tests using SPSS v22. Non-parametric methods used due to non-normal data distribution","577 statin-treated patients from a heart clinic in Birjand; classified into cardiovascular risk groups (extreme, very high, high, moderate). Secondary prevention not explicitly quantified; 57.6% were in very-high CVD risk group. Excluded low-risk group due to small size. Most were women (64.9%) and had comorbidities such as hypertension (78.3%) and diabetes (38.4%).",64.6% of patients with moderate risk ( patients with â‰¤ 2 risk factors and 10-year risk < 10%) achieved a goal of <100mg/dl acc to American ACC/AHA The American College of Cardiology/American Heart Association..,Aghasizadeh,2021 M,"Different statins: Atorvastatin, Rosuvastatin, Simvastatin (low/moderate/high intensity)",LDL,100 mg/dL  ,moderate risk  ,175,62,0.354,NA,NA,,,
2019,Sub-optimal cholesterol response to initiation of statins and future risk of cardiovascular disease,"Incident cardiovascular disease: coronary artery disease (CAD), stroke/TIA, peripheral vascular disease (PVD), CVD-related death",UK,Europe,"Cox proportional hazards regression and Fine & Grey competing risks survival regression, adjusted for age and baseline LDL-C; multiple imputation for missing covariates",-,Cohort,NA,NA,,LDL-C reduction within 24 months after initiating statins; categorized as optimal (â‰¥40% reduction) or sub-optimal (<40%),NA,"Incident cardiovascular disease: coronary artery disease (CAD), stroke/TIA, peripheral vascular disease (PVD), CVD-related death","Cox proportional hazards regression and Fine & Grey competing risks survival regression, adjusted for age and baseline LDL-C; multiple imputation for missing covariates","165,411 patients from UK Clinical Practice Research Datalink (CPRD); primary prevention only; patients with previous CVD were excluded; ~48.6% female; mean age 62.4 years","51.2% had a sub-optimal LDL-C response; sub-optimal responders had significantly higher CVD risk (adjusted HR: 1.22, 95% CI: 1.19â€“1.25); each 1 mmol/L LDL-C reduction linked to lower CVD risk",Akyea,2019,Statins of different potency,LDL,40%,LDL-C reduction  ,165411,84609,0.512,NA,HR 1.22 (95% CI: 1.19-1.25),,,Not available
2016,Patterns of statin use and cholesterol goal attainment in a high-risk cardiovascular population: A retrospective study of primary care electronic medical records,LDL-C reduction at 1 year; LDL-C goal attainment <3.36 mmol/L and <2.59 mmol/L,Spain (Catalonia),Europe,"Multiple correspondence analysis, general linear and logistic regression, adjusted for confounders",Presence of dyslipidemia diagnosis in medical records; specific LDL-C threshold not defined,Cohort,N/A-cross-sectiona;LAMBDA(,NA,,"Patterns of statin use based on type, potency, and 1-year changes (including discontinuation)",NA,LDL-C reduction at 1 year; LDL-C goal attainment <3.36 mmol/L and <2.59 mmol/L,"Multiple correspondence analysis, general linear and logistic regression, adjusted for confounders","21,636 new statin users, aged 35â€“74, high cardiovascular risk, 100% primary prevention, 18.34% women, 56% diabetes, 68% hypertension, 71% dyslipidemia","https://universityofcambridgecloud-my.sharepoint.com/:w:/r/personal/ey270_cam_ac_uk/Documents/1-s2.0-S1933287415003967-mmc1.docx?d=w49065f0c5c4f4485b1b8a48bc76dd4dd&csf=1&web=1&e=dBy5AL&nav=eyJjIjoxMDY0MzEyNjUzfQThree statin use patterns: Low (3.8%), Moderate (72%), High (24%); LDL-C reductions: 15.7%, 29.7%, 24.2% respectively; higher adherence improved outcomes",Garcia-Gil,2016,"Different statins: simvastatin, pravastatin, lovastatin, fluvastatin, rosuvastatin, atorvastatin",LDL,130 mg/dL  ,(3.36 mmol/L)  ,21636,7848,0.3628,"Low-intensity statin use had a lower goal attainment (OR range: 0.6-0.9, Fig 1)",NA,,,R6
2016,Patterns of statin use and cholesterol goal attainment in a high-risk cardiovascular population: A retrospective study of primary care electronic medical records,LDL-C reduction at 1 year; LDL-C goal attainment <3.36 mmol/L and <2.59 mmol/L,Spain (Catalonia),Europe,"Multiple correspondence analysis, general linear and logistic regression, adjusted for confounders",Presence of dyslipidemia diagnosis in medical records; specific LDL-C threshold not defined,Cohort,N/A-cross-sectiona;LAMBDA(,NA,,"Patterns of statin use based on type, potency, and 1-year changes (including discontinuation)",NA,LDL-C reduction at 1 year; LDL-C goal attainment <3.36 mmol/L and <2.59 mmol/L,"Multiple correspondence analysis, general linear and logistic regression, adjusted for confounders","21,636 new statin users, aged 35â€“74, high cardiovascular risk, 100% primary prevention, 18.34% women, 56% diabetes, 68% hypertension, 71% dyslipidemia","https://universityofcambridgecloud-my.sharepoint.com/:w:/r/personal/ey270_cam_ac_uk/Documents/1-s2.0-S1933287415003967-mmc1.docx?d=w49065f0c5c4f4485b1b8a48bc76dd4dd&csf=1&web=1&e=dBy5AL&nav=eyJjIjoxMDY0MzEyNjUzfQThree statin use patterns: Low (3.8%), Moderate (72%), High (24%); LDL-C reductions: 15.7%, 29.7%, 24.2% respectively; higher adherence improved outcomes",Garcia-Gil,2016,"Different statins: simvastatin, pravastatin, lovastatin, fluvastatin, rosuvastatin, atorvastatin",LDL,100 mg/dL  ,(2.59 mmol/L)  ,21636,14126,0.652,Low-intensity statin use â†’ lower goal attainment (OR range: 0.6-0.9),NA,,,
2023,Achievement Rates for Low-Density Lipoprotein Cholesterol Goals in Patients at High Risk of Atherosclerotic Cardiovascular Disease in a Real-World Setting in Japan,Proportion achieving LDL-C goal according to prevention group and treatment regimen,Japan,Asia,"Descriptive statistics, chi-square test, t-test, Mannâ€“Whitney U-test for comparisons; no hypothesis testing","Based on LDL-C goals per JAS GL2017: <120 mg/dL for primary high risk, <100 mg/dL for secondary prevention, <70 mg/dL for secondary high-risk (FH, ACS, DM with complications)",Cross-sectional,22 weeks (after 6-week dietary lead-in),22,,Lipid-lowering treatment regimen: type and intensity of therapy up to the index date,,Proportion achieving LDL-C goal according to prevention group and treatment regimen,"Descriptive statistics, chi-square test, t-test, Mannâ€“Whitney U-test for comparisons; no hypothesis testing","183,145 adults (â‰¥18 years) at high risk of ASCVD from MDV database; 3 groups: Group I (n=125,235) primary prevention high risk, Group II (n=57,910) secondary prevention, Group III (n=33,850) secondary prevention high risk; subgroups include FH (n=389), recent ACS (n=10,291), complicated DM (n=28,512)","Goal achievement: 65.5% (Group I), 60.6% (Group II), 25.4% (Group III) FH and complicated DM subgroups underachieved goals",Efficacy of a Combined Strategy to Improve Low-Density Lipoprotein Cholesterol Control Among Patients With Hypercholesterolemia: A Randomized Clinical Trial,,"Different statins (atorvastatin, rosuvastatin, pitavastatin)",LDL,120 mg/dL  ,NA  ,27878,5298,0.19,Statin intensity: Intensive vs. Standard statins differed in goal attainment *83.9% vs. 63.9% with p-value <0.001),NA,,,
2023,Achievement Rates for Low-Density Lipoprotein Cholesterol Goals in Patients at High Risk of Atherosclerotic Cardiovascular Disease in a Real-World Setting in Japan,Proportion achieving LDL-C goal according to prevention group and treatment regimen,Japan,Asia,"Descriptive statistics, chi-square test, t-test, Mannâ€“Whitney U-test for comparisons; no hypothesis testing","Based on LDL-C goals per JAS GL2017: <120 mg/dL for primary high risk, <100 mg/dL for secondary prevention, <70 mg/dL for secondary high-risk (FH, ACS, DM with complications)",Cross-sectional,23 weeks (after 6-week dietary lead-in),23,,Lipid-lowering treatment regimen: type and intensity of therapy up to the index date,,Proportion achieving LDL-C goal according to prevention group and treatment regimen,"Descriptive statistics, chi-square test, t-test, Mannâ€“Whitney U-test for comparisons; no hypothesis testing","183,145 adults (â‰¥18 years) at high risk of ASCVD from MDV database; 3 groups: Group I (n=125,235) primary prevention high risk, Group II (n=57,910) secondary prevention, Group III (n=33,850) secondary prevention high risk; subgroups include FH (n=389), recent ACS (n=10,291), complicated DM (n=28,512)","Goal achievement: 65.5% (Group I), 60.6% (Group II), 25.4% (Group III) FH and complicated DM subgroups underachieved goals",Hironobu Mitani,2023,"Different statins (atorvastatin, rosuvastatin, pitavastatin)",LDL,70 mg/dL  ,NA  ,27878,10831,0.3884,NA,NA,,,
2023,Achievement Rates for Low-Density Lipoprotein Cholesterol Goals in Patients at High Risk of Atherosclerotic Cardiovascular Disease in a Real-World Setting in Japan,Proportion achieving LDL-C goal according to prevention group and treatment regimen,Japan,Asia,"Descriptive statistics, chi-square test, t-test, Mannâ€“Whitney U-test for comparisons; no hypothesis testing","Based on LDL-C goals per JAS GL2017: <120 mg/dL for primary high risk, <100 mg/dL for secondary prevention, <70 mg/dL for secondary high-risk (FH, ACS, DM with complications)",Cross-sectional,24 weeks (after 6-week dietary lead-in),24,,Lipid-lowering treatment regimen: type and intensity of therapy up to the index date,,Proportion achieving LDL-C goal according to prevention group and treatment regimen,"Descriptive statistics, chi-square test, t-test, Mannâ€“Whitney U-test for comparisons; no hypothesis testing","183,145 adults (â‰¥18 years) at high risk of ASCVD from MDV database; 3 groups: Group I (n=125,235) primary prevention high risk, Group II (n=57,910) secondary prevention, Group III (n=33,850) secondary prevention high risk; subgroups include FH (n=389), recent ACS (n=10,291), complicated DM (n=28,512)","Goal achievement: 65.5% (Group I), 60.6% (Group II), 25.4% (Group III) FH and complicated DM subgroups underachieved goals",Hironobu Mitani,2023,"Different statins (atorvastatin, rosuvastatin, pitavastatin)",LDL,55 mg/dL  ,NA  ,27878,24753,0.887,NA,NA,,,
2014,Achievement rates of japan atherosclerosis society guidelines 2007 LDL-cholesterol goals with rosuvastatin or atorvastatin in patients who had not achieved their goal with atorvastatin,The primary endpoint was achievement of LDL-C goals at 3 months. The main secondary endpoint was achievement of LDL-C goal + high-sensitivity C-reactive protein level <1.0 mg/L at 3 months,Japan,Asia,"Values are expressed as mean SD. All statistical analyses were performed using JMP software (SAS Inst. Inc., Cary, USA). For adiponectin, logarithmic-transformed values were normally distributed by the Shapiroâ€“Wilk test and were applied for statistical tests. For hs-CRP and TG, logarithmic-transformed values were not normally distributed by the Shapiroâ€“Wilk test, and nonparametric tests were therefore applied for statistical tests. Differences in numerical data between groups were analyzed by paired or unpaired Studentâ€™s t-test in parametric tests, or by Wilcoxon signed-rank test or Wilcoxon rank-sum test in nonparametric tests. Differences in frequencies between groups were tested by contingency table analysis. Multiple logistic analyses were performed to evaluate independent determinants of achievement of JAS2007GL LDL-C goals. All statistical tests were two-sided, and values of P < 0.05 were indicative of statistical significance.","LDL level <140 mg/dL for category II patients, <120 mg/dL for category III patients, and <100 mg/
 dL for secondary prevention patients. (The Japan Atherosclerosis Societyâ€™s (JAS) 2007 Guideline for
 Diagnosis and Prevention of Atherosclerotic Cardiovascular Diseases
 (JAS2007GL)",RCT,365 days,52.14285714,,"rosuvastatin 5 mg/day (switched from atorvastatin 10 mg/day) or rosuvastatin 10 mg/day (switched from
 atorvastatin 20 mg/day) or to continue atorvastatin at a dose of 10
 or 20 mg/day","Adherence measured by 
 by proportion of days covered (PDC) with statins during the follow-up period",The primary endpoint was achievement of LDL-C goals at 3 months. The main secondary endpoint was achievement of LDL-C goal + high-sensitivity C-reactive protein level <1.0 mg/L at 3 months,"Values are expressed as mean SD. All statistical analyses were performed using JMP software (SAS Inst. Inc., Cary, USA). For adiponectin, logarithmic-transformed values were normally distributed by the Shapiroâ€“Wilk test and were applied for statistical tests. For hs-CRP and TG, logarithmic-transformed values were not normally distributed by the Shapiroâ€“Wilk test, and nonparametric tests were therefore applied for statistical tests. Differences in numerical data between groups were analyzed by paired or unpaired Studentâ€™s t-test in parametric tests, or by Wilcoxon signed-rank test or Wilcoxon rank-sum test in nonparametric tests. Differences in frequencies between groups were tested by contingency table analysis. Multiple logistic analyses were performed to evaluate independent determinants of achievement of JAS2007GL LDL-C goals. All statistical tests were two-sided, and values of P < 0.05 were indicative of statistical significance.","152 participants,>55 years old, both sex , adult with both primary and secondary prevention",Results: Achievement rates for the primary endpoint were 49.3% in the rosuvastatin group and 31.7% in the atorvastatin group (P = 0.022). Achievement rates for the main secondary endpoint were 40.0% in the rosuvastatin group and 20.8% in the atorvastatin group (P = 0.010).,Shioji,,Rosuvastatin and atorvastatin,LDL,"140 mg/dL, 120 mg/dL, 100 mg/dL  ","(140, 120, 100 mg/dl thresholds)  ",42,NA,NA,"P-values for the association between the following factors and achievement of cholesterol goals.       *Treatment with atorvastatin
 or rosuvastatin:
 0.048 
A. Atorvastatindosebefore
 randomization(10or20mg)
 0.305
B. Age in year 0.856
C. Gender (male/female) 0.614
D. JAS2007GLcategory(II, III,or
 secondaryprevention)
 0.953
E. Hypertension(yes/no) 0.567
F. Diabetes(yes/no) 0.960
G. Smoking(yes/no) 0.369
H. Low HDL-C(<40mg/dL)
 0.771
I. Family history of CAD (yes/no) 0.067 
 J. CAD(yes/no) 0.661 
 K. Cerebral infarction(yes/no) 0.878
L. PAD(yes/no) 0.685",NA,"Firstly, the number of patients enrolled in the study was modest, and the implementation period of 3 months was relatively short.The involvement of 20 clinical centers may have introduced a degree of variation. Secondly, the primary endpoint is not a â€˜hardâ€™ outcome; improvement in achievement rates of JAS2007GL LDL-C goals at 3 months may
 not predict major adverse cardiovascular events. Thirdly, mean hs-CRP levels were higher at 3 months than at the time of enrollment, and the percent changes from baseline were positive with large standard deviations","variables included age, sex, and race. Health service
 utilization variables included the number of unique drugs
 dispensed, number of hospitalizations, number of cardiovascular diagnoses, number of days in the hospital, number
 of physician office visits, and number of physician office visits with cardiovascular diagnoses specific cardiovascular conditions (such as atrial fibrillation, congestive heart failure, or peripheral vascular disease) and other disorders (such as chronic obstructive pulmonary disease, diabetes, musculoskeletal conditions, and endocrine disease)",
2014,"Association Between Persistence with Statin Therapy and
 Reduction in Low-Density Lipoprotein Cholesterol Level:
 Analysis of Real-Life Data from Community Settings","To validate the use of drug dispensing data as a measure of drug exposure and to
 quantify the association between persistence with statin therapy and low-density lipoprotein cholesterol (LDL) levels using real-life community data.",Israel,Asia,"The v2 test for categoric variables and the
 nonparametric Kruskalâ€“Wallis test for continuous variables were performed to determine
 significant differences in baseline characteristics among the statin persistence level groups. Multivariable linear regression analysis was used to assess the relevance of PDC with statins to differences in reduction of LDL level from baseline, adjusted for baseline LDL and traditional CHD risk factors (diabetes mellitus, hypertension) p value less than 0.05 was considered to indicate a statistically significant difference.","The LDL level goal was defined by the Third Report of the National Cholesterol Education Program Expert Panel on Detection,
 Evaluation, and Treatment of High Blood Cholesterol in Adults clinical guidelines for cholesterol testing and management as less than
 130 mg/dl for primary prevention and less than
 100 mg/dl for secondary prevention patients",Cohort,3 months.,13.035,,"(simvastatin 20 mg = pravastatin 20 mg = lovastatin 30 mg = fluvastatin 40 mg = atorvastatin
 16 mg = cerivastatin 0.16 mg = rosuvastatin
 6 mg = pitavastatin 1.6 mg)","Persistence of statin use was defined as the period of time from
 the index date to the date of discontinuation. Discontinuation
 was assessed using the permissible gap method and
 treatment was considered discontinued if the gap between the
 previous dispensingâ€™s last date of supply and the subsequent
 refill exceeded 90 days.","To validate the use of drug dispensing data as a measure of drug exposure and to
 quantify the association between persistence with statin therapy and low-density lipoprotein cholesterol (LDL) levels using real-life community data.","The v2 test for categoric variables and the
 nonparametric Kruskalâ€“Wallis test for continuous variables were performed to determine
 significant differences in baseline characteristics among the statin persistence level groups. Multivariable linear regression analysis was used to assess the relevance of PDC with statins to differences in reduction of LDL level from baseline, adjusted for baseline LDL and traditional CHD risk factors (diabetes mellitus, hypertension) p value less than 0.05 was considered to indicate a statistically significant difference.","A total of 87,219 primary prevention patients and 15,139 secondary prevention patients","Over the follow-up period, significant (p<0.001) reductions in LDL levels of 54, 33, and 13 mg/dl were noted among highly
 persistent (PDC of at least 80%), moderately persistent (34% â‰¤ PDC < 79%), and poorly persistent statins users (PDC â‰¤ 33%), respectively. high persistence with statin therapy was associated with a 27% and 25% decrement in LDL level among the primary and secondary prevention cohorts, respectively. a higher proportion of the persistent statins users reached their target LDL level within the study follow-up period: 80% and 58% among primary and secondary prevention cohorts,
 respectively, compared with only 28% and 17%, respectively, among poorly persistent patients.",Varda Shalev,2014,Different statins,LDL,130 mg/dL  ,NA  ,87219,40315,0.462,"Significant (p<0.001) reductions in LDL levels were noted among highly
persistent (PDC of 80% or above)",NA,"Sixty-three percent of the total population of statin users was not eligible for
 analysis due to missing LDL levels. Therefore, we cannot exclude potential selection bias, addition, factors that could have affected lipid levels (e.g., lifestyle measures and motivation to improve overall health status) were not verified.",N/A,
